date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:32:31	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5b23041812d29%22	https://www.ramkrishnahari.in/robots.txt		(from )
17:32:31	10117/10117	---M--	200	added ('OK')	text/html	date:Fri,%2015%20Jan%202021%2012:02:32%20GMT	https://www.ramkrishnahari.in/	C:/My%20Web%20Sites/ramkrishnahari/www.ramkrishnahari.in/index.html	(from )
17:32:32	13903/13903	---M--	200	added ('OK')	image/png	etag:%22364f-5b23f2361e543%22	https://www.ramkrishnahari.in/assets/images/favicon.png	C:/My%20Web%20Sites/ramkrishnahari/www.ramkrishnahari.in/assets/images/favicon.png	(from https://www.ramkrishnahari.in/)
17:32:33	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%221544639651%22	https://stackpath.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	C:/My%20Web%20Sites/ramkrishnahari/stackpath.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	(from https://www.ramkrishnahari.in/)
17:32:34	4873/4873	---M--	200	added ('OK')	text/css	etag:%221309-5b23f249abced%22	https://www.ramkrishnahari.in/assets/css/scrolling-nav.css	C:/My%20Web%20Sites/ramkrishnahari/www.ramkrishnahari.in/assets/css/scrolling-nav.css	(from https://www.ramkrishnahari.in/)
17:32:34	10117/10117	---MC-	200	added ('OK')	text/html	date:Fri,%2015%20Jan%202021%2012:02:35%20GMT	https://www.ramkrishnahari.in/index.php	C:/My%20Web%20Sites/ramkrishnahari/www.ramkrishnahari.in/index-2.html	(from https://www.ramkrishnahari.in/)
17:32:36	37001/37001	---M--	200	added ('OK')	image/jpeg	etag:%229089-5b23f23f19b1e%22	https://www.ramkrishnahari.in/assets/images/ramkrishnahari-logo.jpg	C:/My%20Web%20Sites/ramkrishnahari/www.ramkrishnahari.in/assets/images/ramkrishnahari-logo.jpg	(from https://www.ramkrishnahari.in/)
17:32:36	8343/8343	---MC-	200	added ('OK')	text/html	date:Fri,%2015%20Jan%202021%2012:02:37%20GMT	https://www.ramkrishnahari.in/about.php	C:/My%20Web%20Sites/ramkrishnahari/www.ramkrishnahari.in/about.html	(from https://www.ramkrishnahari.in/)
17:32:38	9725/9725	---MC-	200	added ('OK')	text/html	date:Fri,%2015%20Jan%202021%2012:02:39%20GMT	https://www.ramkrishnahari.in/ecommerce-products.php	C:/My%20Web%20Sites/ramkrishnahari/www.ramkrishnahari.in/ecommerce-products.html	(from https://www.ramkrishnahari.in/)
17:32:38	9726/9726	---MC-	200	added ('OK')	text/html	date:Fri,%2015%20Jan%202021%2012:02:40%20GMT	https://www.ramkrishnahari.in/grocery-products.php	C:/My%20Web%20Sites/ramkrishnahari/www.ramkrishnahari.in/grocery-products.html	(from https://www.ramkrishnahari.in/)
17:32:39	9961/9961	---MC-	200	added ('OK')	text/html	date:Fri,%2015%20Jan%202021%2012:02:40%20GMT	https://www.ramkrishnahari.in/food-beverage-products.php	C:/My%20Web%20Sites/ramkrishnahari/www.ramkrishnahari.in/food-beverage-products.html	(from https://www.ramkrishnahari.in/)
17:32:39	9937/9937	---MC-	200	added ('OK')	text/html	date:Fri,%2015%20Jan%202021%2012:02:41%20GMT	https://www.ramkrishnahari.in/tiffin-suppliers.php	C:/My%20Web%20Sites/ramkrishnahari/www.ramkrishnahari.in/tiffin-suppliers.html	(from https://www.ramkrishnahari.in/)
17:32:40	9516/9516	---MC-	200	added ('OK')	text/html	date:Fri,%2015%20Jan%202021%2012:02:41%20GMT	https://www.ramkrishnahari.in/customized-delivery.php	C:/My%20Web%20Sites/ramkrishnahari/www.ramkrishnahari.in/customized-delivery.html	(from https://www.ramkrishnahari.in/)
17:32:41	8924/8924	---MC-	200	added ('OK')	text/html	date:Fri,%2015%20Jan%202021%2012:02:42%20GMT	https://www.ramkrishnahari.in/career.php	C:/My%20Web%20Sites/ramkrishnahari/www.ramkrishnahari.in/career.html	(from https://www.ramkrishnahari.in/)
17:32:42	37350/37350	---MC-	200	added ('OK')	text/html	date:Fri,%2015%20Jan%202021%2012:02:42%20GMT	https://www.ramkrishnahari.in/job-request.php	C:/My%20Web%20Sites/ramkrishnahari/www.ramkrishnahari.in/job-request.html	(from https://www.ramkrishnahari.in/)
